exercise_date,cash_year,cash_dividend_percentage,issue_method
2015-10-16,2015,0.2,share
2013-11-29,2013,0.08,cash
2013-05-20,2012,0.06,cash
2013-05-20,2013,0.14,share
2011-08-10,2010,0.15,cash
2010-07-07,2010,0.15,share
2009-09-16,2009,0.15,share
2008-07-23,2008,0.15,share
2007-06-07,2007,0.12,share
