exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-06-20,2024,0.09,cash
2024-06-27,2023,0.06,cash
2023-08-18,2022,0.05,cash
2023-01-13,2022,0.05,cash
2016-10-03,2015,0.025,cash
2016-08-31,2015,0.025,cash
