exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-06-07,2023,0.04,cash
2023-08-01,2022,0.04,cash
2022-06-13,2021,0.04,cash
2021-08-25,2020,0.06,cash
2020-08-28,2019,0.06,cash
2019-12-25,2018,0.02,cash
2018-12-27,2018,0.04,cash
2018-07-30,2017,0.06,cash
2017-05-25,2016,0.04,cash
2016-11-14,2016,0.04,cash
2016-05-11,2015,0.05,cash
2015-09-23,2015,0.03,cash
2015-05-29,2014,0.025,cash
