exercise_date,cash_year,cash_dividend_percentage,issue_method
2021-06-24,2020,0.16,cash
2020-04-01,2019,0.25,cash
2017-02-28,2014,0.1,cash
2017-02-28,2015,0.08,cash
2014-06-19,2013,0.1,cash
2013-06-27,2012,0.16,cash
2012-03-29,2011,0.16,cash
2011-03-11,2010,0.16,cash
2009-12-29,2009,0.14,cash
2009-03-25,2008,0.14,cash
