exercise_date,cash_year,cash_dividend_percentage,issue_method
2021-08-17,2021,0.125,share
2018-06-28,2018,0.21,share
2016-06-27,2016,0.11,share
2015-06-29,2015,0.258,share
2014-08-26,2014,0.487,share
2014-08-06,2013,0.215,cash
2012-06-04,2012,0.275,share
2011-06-16,2010,0.196,cash
2011-06-16,2010,0.196,cash
2011-06-16,2010,0.196,cash
2010-05-07,2010,0.601,share
2009-07-14,2008,0.05,cash
