exercise_date,cash_year,cash_dividend_percentage,issue_method
2022-09-29,2022,0.07,share
2021-09-30,2021,0.03,share
2021-07-19,2021,0.05,share
2020-03-12,2020,0.03,share
2018-08-03,2018,0.05,share
2017-04-13,2017,0.1,share
