exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-27,2025,0.1,share
2019-10-09,2019,0.16,share
2018-05-10,2018,0.16,share
2017-06-29,2016,0.045,cash
2016-08-23,2015,0.045,cash
2016-08-23,2016,0.055,cash
2015-10-08,2014,0.045,cash
2015-10-08,2015,0.055,cash
2011-03-22,2011,0.5,share
