exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-08-18,2025,0.13,share
2025-06-09,2024,0.05,cash
2025-02-26,2025,0.11,share
2024-07-18,2023,0.05,cash
2023-07-24,2023,0.18,share
2022-11-23,2022,0.15,share
2021-11-11,2021,0.105,share
2021-05-06,2021,0.1,share
2020-02-04,2020,0.209,share
2018-01-11,2018,0.075,share
2016-12-28,2016,0.075,share
2015-08-06,2015,0.07,share
2014-07-04,2013,0.075,cash
2012-06-04,2011,0.05,cash
2011-10-19,2011,0.08,cash
