exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-07-07,2025,0.1,share
2024-07-23,2024,0.05,share
2023-09-05,2023,0.1,share
2022-07-21,2022,0.15,share
2021-06-03,2020,0.1,cash
2020-06-17,2019,0.07,cash
2019-01-16,2019,0.12,share
2017-06-22,2016,0.15,cash
2016-06-17,2015,0.1,cash
2015-07-16,2014,0.025,cash
2014-06-16,2013,0.02,cash
2013-05-28,2012,0.011,cash
2011-06-22,2010,0.04,cash
2010-04-27,2009,0.06,cash
2009-05-11,2008,0.06,cash
