exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-19,2024,0.625,cash
2024-11-13,2024,0.574,cash
2024-05-17,2023,0.61,cash
2023-11-20,2023,0.65,cash
2023-05-19,2022,0.53,cash
2022-10-26,2022,0.31,cash
2022-05-11,2021,0.135,cash
2022-01-14,2021,0.125,cash
2021-05-17,2020,0.148,cash
2021-02-04,2020,0.2,cash
2020-10-07,2020,0.284,cash
2020-07-17,2019,0.1,cash
2020-05-05,2019,0.2,cash
2019-12-04,2019,0.2,cash
2019-06-04,2018,0.25,cash
