exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-14,2024,0.08,cash
2025-01-13,2024,0.04,cash
2024-11-08,2024,0.04,cash
2024-08-16,2024,0.04,cash
2024-07-12,2024,0.08,share
2024-01-19,2023,0.04,cash
2023-10-09,2023,0.04,cash
2023-06-14,2023,0.08,share
2023-01-09,2022,0.04,cash
2022-10-11,2022,0.04,cash
2022-06-02,2021,0.04,cash
2022-06-02,2022,0.08,share
2022-01-13,2021,0.04,cash
2021-09-30,2021,0.08,share
2021-01-20,2020,0.04,cash
