exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-12-30,2025,0.11,share
2023-12-05,2022,0.06,cash
2023-12-05,2023,0.06,share
2022-09-12,2022,0.13,share
2022-02-10,2022,0.09,share
2020-11-23,2019,0.1,cash
2019-07-24,2018,0.07,cash
2019-07-24,2018,0.08,cash
2018-09-17,2017,0.08,cash
2018-09-17,2018,0.07,share
2017-08-10,2016,0.1,cash
2016-08-11,2015,0.08,cash
2011-09-20,2011,0.06,share
2010-05-31,2009,0.07,cash
2010-02-23,2009,0.1,cash
