exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-08-20,2025,0.3,cash
2025-04-23,2024,0.2,cash
2024-12-27,2024,0.1,cash
2024-06-10,2023,0.05,cash
2024-01-12,2023,0.05,cash
2023-09-14,2023,0.1,cash
2023-07-21,2022,0.05,cash
2023-03-29,2022,0.05,cash
2022-12-07,2022,0.1,cash
2022-06-07,2021,0.06,cash
2022-05-04,2021,0.1,cash
2021-12-31,2021,0.04,cash
