exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-23,2024,0.05,cash
2024-09-13,2023,0.05,cash
2024-09-13,2024,0.3,share
2023-10-16,2022,0.1,cash
2022-07-01,2021,0.1,cash
2021-08-24,2020,0.1,cash
2020-07-20,2019,0.1,cash
2019-10-03,2018,0.05,cash
2018-05-14,2017,0.08,cash
2017-05-19,2016,0.07,cash
2016-02-25,2015,0.15,cash
2015-10-09,2014,0.1,cash
2015-10-09,2015,0.3,share
