exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-09-23,2023,0.1,cash
2023-06-20,2022,0.1,cash
2022-06-22,2021,0.1,cash
2021-06-15,2020,0.1,cash
2020-07-20,2019,0.1,cash
2020-04-09,2020,0.16,share
2019-10-04,2018,0.1,cash
2018-10-04,2017,0.1,cash
2017-10-09,2016,0.1,cash
2016-10-11,2015,0.1,cash
2015-08-14,2015,0.1,share
2014-09-24,2013,0.1,cash
2013-07-23,2012,0.1,cash
2012-11-21,2011,0.1,cash
2011-08-29,2010,0.1,cash
