exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-04-24,2024,0.1,cash
2025-04-24,2025,0.05,share
2022-07-22,2022,0.18,share
2021-08-23,2020,0.12,cash
2020-07-22,2019,0.12,cash
2019-06-19,2018,0.15,cash
2019-01-14,2019,0.25,share
2017-05-25,2016,0.08,cash
2011-05-24,2010,0.035,cash
2010-04-15,2009,0.112,cash
2009-08-21,2009,0.068,cash
