exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-02-10,2024,0.06,cash
2024-10-02,2023,0.14,cash
2024-03-15,2023,0.06,cash
2023-10-20,2022,0.08,cash
2023-06-09,2022,0.06,cash
2023-01-06,2022,0.06,cash
2022-10-28,2021,0.08,cash
2022-06-23,2021,0.06,cash
2022-03-07,2021,0.06,cash
2021-12-09,2020,0.06,cash
2021-03-15,2020,0.08,cash
2020-12-08,2020,0.06,cash
2020-04-01,2019,0.1,cash
2019-07-23,2019,0.08,cash
2019-05-21,2018,0.02,cash
