exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-06-26,2025,0.2,share
2022-06-17,2021,0.05,cash
2022-06-17,2022,0.3,share
2021-05-31,2020,0.05,cash
2021-05-31,2021,0.35,share
2020-07-29,2019,0.05,cash
2020-07-29,2020,0.2,share
2019-06-04,2019,0.3,share
2018-06-12,2018,0.4,share
2017-03-30,2017,0.5,share
2016-08-25,2015,0.15,cash
2016-08-25,2016,0.15,share
2016-03-21,2015,0.05,cash
2015-05-08,2014,0.1,cash
2015-05-08,2015,0.2,share
