exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-08-13,2024,0.03,cash
2025-08-13,2025,0.32,share
2025-01-07,2025,0.15,share
2024-05-23,2023,0.05,cash
2023-07-14,2023,0.15,share
2023-06-14,2022,0.05,cash
2022-08-22,2022,0.2,share
2021-07-12,2021,0.35,share
2020-10-05,2020,0.15,share
2019-09-18,2019,0.08,share
2019-04-05,2018,0.06,cash
2018-07-06,2018,0.05,share
2018-01-17,2017,0.06,cash
2017-09-29,2017,0.05,share
2017-02-23,2016,0.06,cash
