exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-06-27,2025,0.2,share
2025-06-13,2024,0.1,cash
2025-01-06,2024,0.15,cash
2024-07-08,2024,0.1,share
2024-05-30,2023,0.1,cash
2023-12-04,2023,0.15,cash
2023-05-31,2022,0.05,cash
2022-11-30,2022,0.15,cash
2022-05-18,2021,0.1,cash
2021-11-04,2021,0.15,cash
2021-05-07,2020,0.1,cash
2020-11-03,2020,0.15,cash
2020-06-04,2019,0.1,cash
2020-01-03,2019,0.1,cash
2019-07-29,2018,0.1,cash
