exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-16,2024,0.15,cash
2024-11-22,2024,0.15,cash
2024-05-31,2023,0.12,cash
2020-07-30,2019,0.1,cash
2019-11-14,2019,0.2,cash
2019-05-20,2019,0.25,share
2019-03-15,2018,0.15,cash
2018-06-18,2017,0.2,cash
2017-04-28,2016,0.25,cash
2017-04-28,2017,0.25,cash
