exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-14,2025,0.05,share
2025-04-25,2024,0.05,cash
2022-07-13,2021,0.05,cash
2021-11-29,2021,0.09,share
2018-08-16,2017,0.1,cash
2017-05-19,2016,0.1,cash
2016-04-06,2015,0.1,cash
