exercise_date,cash_year,cash_dividend_percentage,issue_method
2023-11-24,2023,0.1,share
2022-10-03,2022,0.1,share
2021-07-08,2021,0.1,share
2020-10-28,2020,0.1,share
2019-10-14,2018,0.05,cash
2018-10-30,2018,0.07,share
2017-08-01,2017,0.05,share
2016-10-07,2015,0.05,cash
2016-10-07,2016,0.1,share
2015-07-03,2015,0.1,share
2011-07-06,2011,0.1,share
