exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-09-26,2023,0.07,cash
2023-06-29,2022,0.14,cash
2023-02-03,2023,0.16,share
2021-07-14,2020,0.15,cash
2020-11-19,2019,0.05,cash
2020-08-06,2019,0.05,cash
2019-12-10,2018,0.12,cash
2018-07-19,2017,0.1,cash
2017-08-18,2016,0.08,cash
2016-09-23,2015,0.04,cash
2015-08-25,2014,0.08,cash
2014-07-11,2013,0.06,cash
2013-06-07,2012,0.06,cash
2012-05-03,2011,0.11,cash
2011-02-25,2010,0.3,cash
