exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-11-19,2024,0.3,cash
2023-12-19,2023,0.3,cash
2023-04-13,2022,0.1,cash
2022-12-19,2022,0.3,cash
2022-06-03,2022,1.17,share
2021-12-29,2021,0.1,cash
2021-05-07,2021,0.15,share
2020-12-14,2020,0.15,cash
2020-08-07,2019,0.05,cash
2020-08-07,2020,0.15,share
2019-12-20,2019,0.1,cash
2019-05-08,2019,0.15,share
2019-04-11,2018,0.05,cash
2019-01-16,2018,0.1,cash
2018-01-17,2016,0.15,cash
