exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-07-07,2025,0.25,cash
2024-12-19,2024,0.95,cash
2024-09-25,2023,1.68,cash
2024-07-02,2023,0.55,cash
2023-07-18,2023,0.45,cash
2021-06-01,2020,0.45,cash
2020-08-10,2019,0.45,cash
2019-06-07,2018,0.45,cash
2018-06-15,2017,0.45,cash
2017-05-30,2016,0.45,cash
2015-06-25,2015,0.6,cash
2014-05-12,2013,1.1,cash
2012-06-08,2012,1.0,share
2011-07-09,2011,0.7,share
2007-02-28,2007,0.334,share
