exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-11-13,2023,0.07,cash
2023-10-26,2022,0.07,cash
2022-09-27,2021,0.08,cash
2021-09-27,2020,0.1,cash
2020-11-20,2019,0.1,cash
2019-09-27,2018,0.07,cash
2018-10-30,2017,0.05,cash
2018-10-30,2018,0.07,share
2018-02-23,2017,0.05,cash
2017-09-28,2016,0.05,cash
2016-12-06,2016,0.05,cash
2016-07-21,2015,0.12,cash
2015-07-29,2014,0.12,cash
2014-07-24,2013,0.12,cash
2013-09-03,2012,0.05,cash
