exercise_date,cash_year,cash_dividend_percentage,issue_method
2019-08-13,2019,0.22,share
2018-05-22,2018,0.13,share
2017-10-31,2017,0.05,share
2017-05-15,2016,0.05,cash
2017-05-15,2017,0.13,share
2016-10-05,2016,0.15,share
2015-06-25,2015,0.1,share
2015-03-04,2015,0.07,share
2013-04-24,2013,0.2,share
2011-06-27,2010,0.3,cash
2010-07-05,2009,0.35,cash
