exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-23,2024,0.1,cash
2025-05-23,2025,0.15,share
2024-05-31,2023,0.1,cash
2024-05-31,2024,0.15,share
2023-06-01,2022,0.1,cash
2023-06-01,2023,0.15,share
2022-06-02,2022,0.25,share
2021-06-10,2021,0.25,share
2020-08-20,2020,0.3,share
2019-07-25,2019,0.3,share
2018-09-06,2018,0.15,share
2018-03-20,2018,0.1,share
2016-12-01,2017,0.1,share
2015-05-15,2014,0.07,cash
2014-05-13,2013,0.07,cash
