exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-08-19,2024,0.12,cash
2024-07-24,2023,0.12,cash
2023-08-10,2023,0.12,share
2022-08-12,2022,0.2,share
2021-05-17,2021,0.15,share
2020-06-15,2019,0.1,cash
2020-02-11,2020,0.1,share
2017-08-24,2016,0.05,cash
