exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-06-09,2024,0.05,cash
2024-07-11,2023,0.1,cash
2024-07-11,2024,0.1,share
2023-10-05,2022,0.1,cash
2023-10-05,2023,0.05,share
2022-05-25,2021,0.15,cash
2021-06-23,2020,0.15,cash
2020-07-14,2019,0.1,cash
2020-07-14,2020,0.1,share
2019-06-13,2018,0.2,cash
2018-06-04,2018,0.15,share
2017-11-28,2017,0.05,cash
2017-05-24,2016,0.08,cash
2017-05-24,2017,0.1,share
2016-05-19,2015,0.2,cash
