exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-09-19,2023,0.03,cash
2024-09-19,2024,0.07,share
2023-09-22,2023,0.18,share
2023-02-17,2023,0.2,share
2014-06-12,2013,0.04,cash
2013-06-13,2012,0.055,cash
2013-04-26,2013,0.061,share
2013-01-09,2012,0.08,cash
2012-06-01,2011,0.053,cash
2012-05-14,2012,0.1,share
2012-01-12,2011,0.14,cash
2011-06-02,2010,0.015,cash
2010-12-29,2010,0.12,cash
2010-06-18,2009,0.04,cash
